"NAZEV" "fc" "fXc" "fYc" "fZc" "fXYc_int" "fXZc_int" "fYZc_int" "fXYZc_int"
"1" "Benesov" 1818515.4552667 169407.400411756 314157.733456029 348330.679561455 100224.945693231 311155.763069241 246832.307669643 328406.625405343
"2" "Beroun" 1824583.83916258 204128.657428055 272549.416234294 112891.987090181 157215.565176994 330266.600576001 335762.550787374 411769.061869684
"3" "Blansko" 2148903.98568599 282331.970666306 324356.44205793 424489.460467528 255236.814325793 347544.092880912 210932.804075077 304012.401212449
"4" "Breclav" 2224623.06824747 156221.21115801 758480.2665928 267741.858797821 160580.521147999 153486.215280145 431088.996917975 297023.998352724
"5" "Brno Mesto" 1313226.66052876 69561.0237850591 330271.361381289 4829.82889660379 248046.931364526 202873.317978884 96258.068534639 361386.128587763
"6" "Brno Venkov" 2085023.71594254 318547.181184351 607368.388248515 189377.069636379 249078.413256563 143741.973152084 226135.162254097 350775.528210551
"7" "Bruntal" 1815727.5922669 179169.513667864 182700.617354677 196897.328408693 206089.066064236 305467.155012209 282218.908511153 463185.003248068
"8" "Cheb" 2204023.92292675 296708.499458479 462393.857120418 241879.943217608 242668.812931263 448881.473588491 176603.752631107 334887.583979388
"9" "Chomutov" 2690045.28497025 464325.483400504 593231.806599692 629729.491666443 78892.6748299134 328498.143343463 229316.918833043 366050.766297195
"10" "Chrudim" 1914269.54296206 332501.903216649 304689.683924161 339450.946054643 119396.708714956 315606.35985865 198968.156051776 303655.785141228
"11" "Ceska Lipa" 2354429.93025943 165667.004357763 371238.663613941 407125.099398329 132468.827584776 482711.727701011 436977.149145534 358241.458458072
"12" "Ceske Budejovice" 2048370.86017527 220623.888039525 492083.633335511 326523.391904416 249252.927232295 203384.93793221 304311.507028167 252190.574703148
"13" "Cesky Krumlov" 2141505.41817902 243308.178535225 715126.595001578 334977.450039127 220157.14859079 82386.6503675204 316175.94092037 229373.454724413
"14" "Decin" 2742434.20236994 537510.412671383 348097.85444718 366922.279596423 113691.399382095 795032.161973059 161074.903695281 420105.190604523
"15" "Domazlice" 2396306.57717186 525960.270944175 478770.323851463 283590.235240094 147008.883415871 235999.184347674 302484.949786284 422492.729586304
"16" "Frydek-Mistek" 1345490.81269218 123538.859789023 206871.32226113 102292.888181679 199500.801430694 200283.428787207 218420.694546807 294582.817695639
"17" "Havlickuv Brod" 2351297.27641788 333954.908203828 238413.461118673 407048.301852272 176444.138129827 298793.502317411 443311.036399204 453331.928396667
"18" "Hlavni mesto Praha" 1970029.26178838 238138.625792091 316010.880983764 160727.981534821 323149.099037521 402978.950954924 212775.540003776 316248.183481487
"19" "Hodonin" 2587461.2148061 149153.20015704 686647.939333978 465064.418001682 152666.211709951 254839.539933607 529971.609787546 349118.295882297
"20" "Hradec Kralove" 1747033.57099349 106293.25964279 312966.160488541 192382.052349903 138527.189662808 352473.534287891 273109.921677086 371281.452884467
"21" "Jablonec nad Nisou" 2554898.27390583 98597.1453866373 651981.740277003 443589.210507348 153033.374905138 315109.639240398 683669.736760294 208917.426829014
"22" "Jesenik" 1988255.40483089 185511.753662813 471037.994951315 183188.370290387 304581.731397241 225105.477473976 315128.788215781 303701.28883938
"23" "Jicin" 1847327.06157041 135633.07353442 422024.571321349 245512.412982891 170150.436155637 197469.795502391 371882.566451016 304654.205622701
"24" "Jihlava" 2506814.61216981 318415.2058341 288158.806732341 745567.136047802 229847.010450605 241324.595741986 241244.638889909 442257.218473068
"25" "Jindrichuv Hradec" 2362551.55503836 276854.790557654 693864.14911343 341892.110673039 296033.317033026 143471.391399852 326877.23676186 283558.559499498
"26" "Karlovy Vary" 2777428.94870895 260300.659875476 268423.066572961 944905.292298011 279000.632771523 395800.842913629 432321.017882796 196677.436394558
"27" "Karvina" 1191273.00569045 97422.886432232 233383.278688905 58052.1510544955 286287.477828796 108877.356835448 152347.67104065 254902.183809923
